###### [1/10] of a280[1/48]
2023-06-14 14:58:05 -*- 2941
2023-06-14 14:58:05 --> org-christofides: 2941
2023-06-14 14:58:05 -*- 2932
2023-06-14 14:58:05 -*- 2922
2023-06-14 14:58:06 -*- 2916
2023-06-14 14:58:06 -*- 2905
2023-06-14 14:58:07 -*- 2895
2023-06-14 14:58:07 -*- 2891
2023-06-14 14:58:07 -*- 2888
2023-06-14 14:58:09 -*- 2886
2023-06-14 14:58:11 -*- 2871
2023-06-14 14:58:11 -*- 2868
2023-06-14 14:58:12 -*- 2863
2023-06-14 14:58:14 -*- 2862
2023-06-14 14:58:15 -*- 2857
2023-06-14 14:58:15 -*- 2852
2023-06-14 14:58:17 -*- 2849
2023-06-14 14:58:19 -*- 2840
2023-06-14 14:58:21 -*- 2827
2023-06-14 14:58:23 -*- 2817
2023-06-14 14:58:23 -*- 2815
2023-06-14 14:58:24 -*- 2814
2023-06-14 14:58:25 -*- 2810
2023-06-14 14:58:29 -*- 2804
2023-06-14 14:58:30 -*- 2799
2023-06-14 14:58:32 -*- 2798
2023-06-14 14:58:32 -*- 2794
2023-06-14 14:58:37 -*- 2793
2023-06-14 14:58:48 -*- 2783
2023-06-14 14:58:48 -*- 2780
2023-06-14 14:58:52 -*- 2767
2023-06-14 14:59:01 -*- 2761
2023-06-14 14:59:01 -*- 2757
2023-06-14 14:59:07 -*- 2753
2023-06-14 14:59:10 -*- 2751
2023-06-14 14:59:14 -*- 2744
2023-06-14 14:59:20 -*- 2738
2023-06-14 14:59:30 -*- 2732
2023-06-14 14:59:33 -*- 2728
2023-06-14 14:59:42 -*- 2718
2023-06-14 15:00:12 -*- 2700
2023-06-14 15:00:21 -*- 2699
2023-06-14 15:00:51 -*- 2689
2023-06-14 15:01:46 -*- 2687
2023-06-14 15:02:01 -*- 2679
2023-06-14 15:03:31 -*- 2678
2023-06-14 15:04:01 -*- 2677
2023-06-14 15:08:05 --> opt-stimulated_annealing: 2677
###### [1/10] of a280[1/48]
2023-06-14 15:08:05 --> opt: 2579
2023-06-14 15:08:06 -*- 2941
2023-06-14 15:08:06 --> org-christofides: 2941
2023-06-14 15:08:06 -*- 2936
2023-06-14 15:08:06 -*- 2930
2023-06-14 15:08:06 -*- 2920
2023-06-14 15:08:06 -*- 2919
2023-06-14 15:08:07 -*- 2918
